EU	ue
terrorism	terrorismo
Wilcox	wilcox
13-year	pnud/
finance	finanzas
extorted	extorsiones
expatriate	nacionalizados
Liberation	liberación
Eelam	tripura
king	rey
leaves	hojas
week-long	semana
KATHMANDU	katmandú
Birendra	bahadur
ascending	ascendente
throne	trono
1972	globus
constitutional	constitucional
monarch	monarca
Jiang	jiang
Zemin	jintao
Premier	premier
Peng	peng
Prakash	prakash
Lohani	mohan
Himalayan	himalaya
sandwiched	mitades
traditionally	tradicionalmente
giant	gigante
neighbours	vecinos
distance	distancia
50-year	pnud/
Queen	reina
Aishwarya	priya
Tibetan	tibetano
Lhasa	lhasa
Chongqing	chongqing
servant	funcionario
Nepali	nepalí
bound	viceversa
employer	empleador
Madhusudan	narayan
Munakarmi	mati
informed	informado
plight	desarraigo
12-year	pnud/
Dhiraj	mohd
K.C.	fugó
locks	candados
concealed	ocultos
Kathmandu	katmandú
Dheeraj	rahul
employed	empleado
limping	cojera
steal	robar
belongings	pertenencias
Post	post
OPTIONS	opciones
vols	vols
regrouping	reagruparse
Implied	malinterpretado
volatility	volatilidad
stabilise	estabilizar
falling	caer
German-led	alemania
Volatility	volatilidad
Euromark	mark
trader	comerciante
14.00	phc
16.75	miliario
19.50	bozo
21.25	bozo
welter	steinmetz
18.50	troupe
20.00	rho
22.00	bcs
23.5	yago
1347	jaro
96.78	proaño
sell-off	vender
overdone	chocante
floors	pisos
low	baja
size	tamaño
Bundesbank	dresdner
repo	repo
3.00	tru
3.30	silk
longer-dated	constancia
short-dated	short
perhaps	quizás
vol	vol
Long	larga
historically	históricamente
vol.	vol
You	pudieras
reassess	reconsiderar
OTC	dci
specialist	especialista
Coughlan	mcfadden
over-the-counter	anti
10-year	pnud/
Bunds	zanjas
makers	fabricantes
high-yielding	rendimientos
downside	esto
upside	colgando
potential	potencial
recommend	recomendar
strangles	apuñala
particular	particular
vulnerable	vulnerable
fronts	frentes
enhance	potenciar
yield	obtenerse
Nisbet	archibald
Bonds	bonos
6320	eda
Sachs	sachs
warrants	amerite
Continental	continental
Wertpapier	bertelsmann
American-style	norteamericanos
warrant	desacato
controls	controles
STRIKE	huelga
25.00	basil
DEM	dem
PREMIUM	premium
ISSUE	asunto
2.42	ob
GEARING	boxer
10.29	teo
X	x
EXERCISE	ejercicios
PERIOD	periodo
02.SEP.96-21.NOV.97	mes
PAYDATE	halloween
30.AUG.96	rein
DDF	df
FFT	nbsp
STG	raf
MIN	min
EXER	legato
LOT	bastantes
SPOT	coló
REFERENCE	referencia
24.90	e/
Legal	legal
challenge	desafío
Diana	diana
photographer	fotógrafo
branded	comercializando
stalker	acosador
Princess	príncipes
approaching	aproximándose
criminal	criminal
Stenning	horne
12-week	wired
contest	concurso
injunction	desacato
obtained	obtenido
affidavit	testificar
affadavit	nisman
Benedict	benedicto
Birnberg	kirchberg
everything	eso
ice	hielo
brick	ladrillo
driver	piloto
motorcycle	motociclista
dispatch	envío
rider	ciclista
convictions	condenas
Magistrates	magistrados
compensation	compensación
182	regia
282	regia
freelance	freelance
divorce	divorcio
heir-to-the-throne	herederos
Prince	príncipe
Charles	charles
persistently	persistentemente
trailing	travesaño
princess	princesa
chasing	persiguiendo
remove	quitar
camera	megapíxeles
scapegoat	culpar
photographers	fotógrafos
Mr.	mr
shook	sacudieron
DOHUK	nayaf
tentative	concluya
...For	para
sake	desear
asking	pidiendo
Riza	riza
Altun	beli
Dohuk	nayaf
accompany	acompañar
spring	primavera
frequent	ocasional
cross-border	velocidadgenérica
drives	arrancar
writer	escritor
Nacar	yara
wider	amplia
effort	esfuerzo
Necmettin	paşa
Erbakan	barzani
encouraged	alentado
uses	utiliza
SOLIDERE	sere
privately-operated	nevera
Secondary	secundarias
Market	mercado
BSM	tts
distributed	distribuida
district	distrito
rebuilding	reconstrucción
104.625	tanteo
B	b
650-million	millones
subscription	suscripción
106.5	–el
106.375	—queda
Turnover	facturación
8,049	krüger
8,757	cor
850,968	tachó
918,288	marroquín
1,185	kot
Ciments	formes
Libanais	afrique
1.1875	ob
2,036	mayen
listed	listada
Blancs	rouges
Eternit	eternidad
Uniceramic	cerámico
BLOM	blom
Index	índice
covers	cubre
903.09	‎
LISPI	tartamudo
0.02	urso
81.58	tzu
editorial	editorialista
961	belasco
864148	ob
353078	fel
861723	sos
Zenith	cenit
lands	tierras
plant	planta
Nadeau	lemieux
consortium	consorcio
Walt	walt
Disney	disney
digital	digital
televison	televisión
set-top	tope
boxes	fichas
entertainment	entertainment
struggled	logró
Luehrs	reimer
Glenview	heights
Ill.-based	basado
Networks	redes
Anytime	esperas
somebody	alguien
gets	echa
era	época
soared	estancó
5.50	tui
16.875	oi
Americast	directv
develop	desarrollar
generation	generación
addition	además
partners	socios
phone	teléfono
Ameritech	at&t
Corp.	corpo
BellSouth	entel
GTE	gte
SBC	mcp
Communications	comunicaciones
Telecommunications	telecomunicaciones
join	unirse
cable	cable
Woodridge	dupage
Ill	il
tubes	tubos
32-	ob
35-inch	catcher
screen	pantalla
buys	vende
competitors	competidores
financing	financiación
jobs	empleos
roll	roll
build-to-order	construir
convert	convertir
Chihuahua	chihuahua
analogue	análogo
manufacture	fabricación
profitable	rentable
subscribers	suscriptores
technology	tecnología
retail	tiendas
electronics	microelectrónica
devices	dispositivos
dividends	dividendos
plagued	plagada
colour	color
reporting	esmas
full-year	año
33.2	ob
45.3	sada
97	ob
Korea-based	corea
Electronics	microelectrónica
Gutenstein	ortenau
Kalf	hals
Voorhis	clinton
unique	peculiar
Digital	digital
happy	feliz
Natural	natural
Law	leyes
meditate	meditar
hundreds	cientos
yogic	yoga
fliers	alas
defy	desafiar
nature	naturaleza
levitating	levitación
comes	viene
minor	minor
candidate	candidato
Transcendental	bergson
Meditation	meditación
TM	tm
physicist	matemático
Hagelin	goebel
Nov.	nova
running	corriendo
claiming	alegando
ward	poole
techniques	técnicas
mass	masa
meditation	meditación
stress	estrés
automatically	automáticamente
decrease	disminución
Many	muchos
practitioners	practicantes
involves	involucra
meditating	meditación
repeated	repetido
word	palabra
phrase	frase
mantra	mantra
followers	seguidores
contend	argumentan
mediate	mediar
demonstration	demostración
bouncing	rebotar
sitting	sentado
Huge	enorme
Windows	ventanas
fail	fallan
Wolk	weisman
massively	masivamente
publicized	publicitado
introduction	introducción
Microsoft	microsoft
computer	ordenador
fallen	caído
software	software
Even	incluso
fastest-selling	pole_tiempo
unprecedented	precedentes
hype	hype
Aug.	aka
launch	lanzamiento
greet	saludar
lines	líneas
customers	clientes
Redmond	redmond
Wash.-based	wash
tens	cientos
dollars	dólares
promoting	promoviendo
stunts	acrobacias
lighting	iluminación
Empire	imperio
building	edificio
color	color
scheme	esquema
Rob	rob
Enderle	goebel
Giga	giga
hardware	hardware
spike	spike
materialized	materializó
expecting	esperando
coat-tails	pendón
somewhat	bastante
Winkler	winkler
Gartner	gartner
impact	impacto
earth-shattering	aterradora
Symantec	symantec
posting	discución
projections	proyecciones
Touchstone	touchstone
1.3	cilla
lawsuit	demandó
tied	detrás
developers	desarrolladores
suffer	sufrir
shelves	armarios
jammed	atascado
blue-and-white	blue
resulting	resultante
shortage	escasez
space	espacio
seasonal	estacional
products	productos
Stephens	stephens
PC	pc
accompanying	acompañada
Office	office
upgrade	mejoras
8.67	hogares
cemented	cimentó
dominant	dominante
executives	ejecutivos
thrilled	feliz
sometime	cuando
surpass	sobrepasar
older	edad
computers	ordenadores
handling	manejo
technical	técnicos
frustrated	disgustado
install	instalar
corporate	corporativa
adopted	adoptado
go-slow	slow
high-end	altos
NT	nt
downplayed	afirmado
4.0	finale
proportion	proporción
users	usuarios
mistake	equivocación
thinking	pensar
sweeping	barriendo
slow	lento
migration	migración
pacts	pactos
repatriate	repatriación
intercepted	interceptó
migrants	migrantes
illegally	ilegalmente
jeopardising	peligrar
Cubans	cubanos
reiterates	reafirma
Guantanamo	guantánamo
Naval	naval
Base	base
enforcement	seguridad
alien	alienígena
hijackings	incidentes
remind	recordar
everyone	nadie
abiding	respeto
avoiding	evitando
straits	estrecho
Havana	habana
centred	centrado
boatload	sacas
emigrants	emigrantes
capsized	encalló
Sixteen	diecisiete
Bay	bay
emigrated	emigró
hijacking	secuestro
hijackers	secuestradores
hijacked	secuestrado
commercial	comercial
aylum	captores
Wis	turnpike
apply	aplicar
welfare	bienestar
pioneering	pionero
image	imagen
Wisconsin	wisconsin
submit	solicitar
administrative	administrativo
Tommy	tommy
submitted	borrador
Human	humanos
grant	grant
reform	reforma
curve	curva
dubbed	llamado
W-2	mirna
waivers	canjeado
acquire	adquirir
60-day	día
residency	residencia
requirement	requisito
participation	participación
collections	colecciones
directly	directamente
custodial	privación
limits	límites
eligibility	elegibilidad
Karen	karen
Pierog	kass
312-408-8647	kairo
Snoozing	riéndose
Vietnamese	vietnamita
train	tren
Alaska	alaska
ANCHORAGE	anchorage
snooze	pocoyó
boxcar	vagón
locked	encerrado
Whittier	whittier
Tuan	rong
Quac	µ
Phan	trang
dehydrated	deshidratación
famished	hambrientos
terrified	aterrorizado
barge	barcaza
Sgt	sargento
Jewell	jewell
cooperative	cooperativa
Seeing	viendo
uniform	uniforme
Jail	cárcel
accidental	accidental
searching	búsqueda
fishing	pesca
sleep	dormir
coupled	impulsión
transporting	transportando
lumber	aserraderos
Sound	sonido
fed	alimentado
soup	sopa
breakfast	desayunos
agents	agentes
Arkansas	arkansas
fires	incendios
Barnes	barnes
LITTLE	poquito
ROCK	rock
Ark	arca
sifted	montones
rubble	escombros
predominantly	mayoritariamente
churches	iglesias
burned	quemado
Mississippi	misisipi
delta	delta
kms	nbsp
Rock	rock
located	localizado
investigating	investigar
idea	idea
arson	incendio
conclusively	concluyente
established	establecida
Agents	agentes
F.B.I.	topó
Alcohol	alcohol
Tobacco	tabaco
Firearms	revólveres
scene	escena
Zion	zion
Missionary	misionero
Baptist	baptist
Church	iglesia
St.	st
Matthews	partridge
frame	armazón
structures	estructuras
Turner	turner
surrounded	rodeado
cotton	algodón
soybean	soja
rural	rural
surprised	sorprendido
Fannie	mae
Matthew	matthew
Others	colegas
connected	conectada
shared	compartida
suspicion	sospechas
motive	impulsión
spite	pesar
Rev.	rev
Jerome	jerome
pastor	párroco
spared	salvó
wave	ola
worship	culto
Camden	camden
Oak	roble
initiated	iniciado
EVEREN	bergh
Mines	minas
0.13	vor
0.40	pix
0.43	ob
Based	basado
simulated	simular
income	ingresos
models	modelos
discount	autoservicio
averages	promedio
short-term	plazo
objective	objetivo
1/16	celo
3-11/16	público»
SunGard	microsystems
CheckFree	cnet
MATEO	diego
Calif.	sausalito
Shareholder	accionista
Systems	sistemas
Business	negocios
finalized	concretó
Terms	términos
o	na
212	tun
859-1610	recién
Alpha	alpha
Techs	cti
Lockhart	lockhart
Technologies	tecnologías
Industries	industrias
280,556	moa
post-closing	clos
adjustments	ajustes
designer	diseñador
sophisticated	sofisticado
thermal	térmica
PTT	pt
telecoms	telecom
Koninklijke	koninklijke
Nederland	nederland
NV	nv
marginally	medianamente
scant	escasa
adjust	ajustar
1.209	este»
breadth	envergadura
1.210-1.236	davi
1.210	davi
largely	esencialmente
view	vista
Coming	entrando
overwhelmingly	abrumadoramente
surprising	sorprendente
ING	æ
Steven	steven
Vrolijk	dekker
continuing	continuando
sound	sonido
performer	bailarín
sticking	echando
2.45	thais
guilder	florines
2.26	noe
1403	xo
1.70	teo
61.00	ox
weaker	débil
bourse	marché
Keiron	conor
Henderson	henderson
Boskalis	schiphol
upgrades	mejoras
13:12	tas
PAPENDRECHT	amersfoort
Dredging	dragado
Westminster	westminster
corrects	corrige
utilisation	utilización
dredger	dragado
uncertain	incierta
70.9	athos
prospects	prospectos
first-half	mitad
27.5	ob
41.4	finale
dissolves	disuelve
Costis	agrestis
Stephnopoulos	papadopoulos
ordering	ordenando
dissolution	disolución
300-seat	asientos
Stephanopoulos	fiorina
poll	encuesta
citing	citando
convergence	convergencia
Elections	elecciones
originally	originalmente
Libyan	libia
Amer	amer
Hishem	saeed
Mohammed	mohamed
pool	piscina
Sliema	valletta
stab	hiere
wounds	heridas
Grech	michele
fervant	talante
investigations	investigaciones
Bahn	bahn
H1	boyero
pre-tax	impuestos
17.5	globus
188	bozo
14,600	itu
3.3	facio
Full	full
state-owned	estatal
earmarked	destinar
eventual	eventual
privatisatio	privatización
FAT8222	grasa
long-distance	respecto
traffic	tráfico
2,500	gk
6.4	ob
commuter	autobuses
5,400	elon
4.6	/
freight	pasajeros
3,200	lc
5.1	atticus
workforce	laboral
300,962	ob
3.7	meco
oct	may
compare	comparar
compares	compara
+49	nr
756525	humanitas
lion	lion
paparazzi	paparazzi
tabs	tabs
whales	ballenas
marine	marina
biologists	biólogos
lions	lions
tag	tag
photograph	foto
elusive	buscada
cruise	cruise
depths	profundidades
Scientist	investigador
Harvey	harvey
Jennifer	jennifer
Hurley	hurley
Moss	moss
Landing	aterrizaje
Marine	marina
Laboratories	laboratorios
natural	natural
companions	acompañantes
species	especies
whale	ballena
Any	cualquier
diver	buceador
knows	sepa
ca	ca
17-year-old	mathis
Beaver	caribou
nine-year-old	siete
Sake	desear
undergone	sufrido
amusement	disneyland
park	park
accurately	precisa
transmitter	transmisora
swim	nadar
mammals	mamíferos
filming	rodaje
video	video
assignment	asignación
documenting	documentando
humpback	orcas
Monterey	monterey
article	artículo
spell	hechizo
exactly	exactamente
taught	enseñó
stick	agarre
plastic	plástico
model	modelo
using	usando
suction	succión
cups	copas
jeopardises	peligrar
Howard	howard
jeopardised	peligrar
upper	inferior
scrutinise	vetar
hacks	hackers
hack	hack
environment	ambiente
function	función
Senior	senior
warned	advertido
fiscally-tight	terri
hampered	obstaculizado
contained	contenía
sharp	sharp
spending	gastó
5.6	cornudo
partially	parcialmente
Telstra	vodafone
Greens	glas
Labor	trabajadores
Official	oficial
Toyota	toyota
workers	trabajadores
MELBOURNE	melbourne
2,000	kino
striking	inusual
voted	votó
Melbourne	melbourne
assembly	asamblea
two-week	wired
stoppage	nocaut
Niugini	airasia
surge	tormenta
miner	miner
Mining	minera
surged	frenó
38	cicero
3.75	jug
confirmation	confirmación
Mountain	montaña
considering	considerando
acquiring	adquisición
49.6	lame
minorities	minorías
broker	broker
copper	cobre
Papua	papúa
17.2	tas
Lihir	iki
project	proyecto
0025	léase
3.65	lynn
108,288	dono
9373	agg
students	alumnos
throw	tirar
irreplaceable	irrepetible
rocks	rocas
Students	alumnos
Yonsei	seúl
samples	muestras
geology	geología
collect	recoger
Geology	geología
prefessors	confesores
collection	colección
gathered	reunido
panes	ventanas
desks	sillas
forever	eternamente
professor	profesor
staged	escenifica
violent	violenta
nine-day	siete
university	universidad
unification	unificación
campus	campus
unwinding	replicación
unwound	hebras
belief	creencia
strengthen	fortalecer
818.10	cur
819.10	pros
817.60	ob
819.30	baer
overbought	contraproducente
insistent	insistente
intervention	intervención
convinced	convencido
supporting	apoyando
Orii	ori
96/97	uah
8.70	uff
prft	multicanal
371	ob
nil	nil
447	dum
48.61	globus
automation	automatización
95/96	perdonó
9.33	ob
286	moa
48	tojo
350	fug
38.11	zak
Diluted	diluido
Lynne	quigley
O'Donnell	kerry
Shanghai	shanghái
bonded	acero
warehouses	almacenes
confounding	correlaciones
fate	destino
belongs	pertenece
Yingkou	fuzhou
stockpile	municiones
stored	almacenado
Just	nada
guessing	si
metal	metal
channelled	canalizado
Nonferrous	aleaciones
Metals	metales
Import	importación
Export	exportación
CNIEC	katarzyna
indication	indicio
administered	administrado
Planning	planificación
Traders	comerciantes
tax	impuestos
value-added	valor
prohibitively	costoso
otherwise	necesariamente
spend	gastar
moving	moviendo
Once	nuevamente
Mystery	misterio
unsure	saber
exact	exacta
Trading	comercio
cost-effective	eficaz
depleted	agotamiento
purpose	propósito
backwardation	déficits
Metal	metal
LME	cfe
occurs	ocurre
lent	prestado
85,000	jud
behalf	anuencia
115,000	davos
Asia	asia
2,700	tui
tonne	toneladas
somewhere	exactamente
2,200	upi
storage	almacenamiento
Word	palabra
secret	secreto
unnerved	sorprendido
jittery	estridente
Bloomsbury	bloomsbury
Economics	sociología
BME	mtm
motivation	motivación
owners	propietarios
fundamental	fundamentales
rumours	rumores
Sumitomo	sumitomo
helping	ayudando
unload	transportar
1.8	zaza
decade	décadas
arrangement	arreglo
unaware	sabiendo
arrivals	llegadas
irrelevant	irrelevante
commodities	primas
desire	deseo
2843-6470	inf
Companion	companion
Marble	mármol
posts	foros
H.K.	electra
14.0	finale
Exceptional	excepcional
56.06	thorndike
531.52	dux
Company	compañía
Holdings	holdings
Books	libros
payable	abonar
granite	granito
distributor	distribuidor
spinoff	serie
construction	construcción
Building	edificio
Material	material
Room	rom
2843	policarpo
6368	laso
Softbank	yomiuri
procure	adquirir
forex	financiero
exchange	intercambio
acquisition	adquisición
Kingston	kingston
Technology	tecnología
transactions	transacciones
maker	fabricante
memory	memoria
boards	boards
acquisitions	adquisiciones
Telecomm	telecomunicaciones
SHANGHAI	shanghái
Half-year	año
yuan	yuan
115.259	clásico
123.157	amm
20.318	mux
22.828	‡
asset	capitalización
3.02	wilber
comparative	comparativo
0.14	milo
Posts	cuentas
Equipment	equipamiento
unaudited	pagos
Promodes	modos
decide	decidir
Spar	monocasco
Les	des
Echos	nota
Rothschild	rothschild
Cie	cie
intermediary	intermediario
unlisted	sincat
retailers	minoristas
Metro	metro
Rewe	bertelsmann
Lidl	autoservicio
discussions	discusiones
Promo	promo
hypermarket	hipermercado
Continent	continente
superstores	tiendas
generated	generada
4.7	otrora
outline	bosquejo
Specia	loci
Dia	mou
Aldi	zara
4221	ribbon
5452	dato
highlights	resaltando
IRISH	irlandés
INDEPENDENT	independientes
mortgage	hipotecas
lender	prestamista
Permanent	permanente
stalemate	hostilidades
claim	afirmar
owed	pagó
fund	fund
Taylor	taylor
trawler	torpedeado
Corps	marines
cat	gato
mouse	ratón
Enterprise	enterprise
Employment	laboral
widened	ensanchada
Asset	capitalización
Managers	entrenadores
Ivernia	mauretania
Minorco	acquaviva
council	consejo
zinc	zinc
Lisheen	dun
Tipperary	tipperary
CRH	crh
refused	negó
stering	deslocalización
Tilcon	granel
Mortgage	hipotecas
societies	sociedades
variable	variable
Members	miembros
Antrim	antrim
Protestant	protestante
driven	movido
loyalist	lealistas
paramilitaries	paramilitares
yesterday	ayer
defiance	rebeldía
hanging	colgando
Dunnes	alderney
Stores	tiendas
Top	top
bankers	banqueros
Merrill	merrill
transferring	transfiriendo
plastics	biodegradables
incineration	incineración
suitable	adecuado
recycling	reciclaje
JV	xo
1996-08-24	lacayo
truck	camión
Motor	automóviles
post-tax	post
Jiangling	zuolin
3.385	paul
14.956	restó
937.891	anka
1.215	msm
0.005	teo
8,333	imo
9,018	imo
vehicle	vehículo
engine	motor
138.643	xo
shareholder	accionista
353.24	★
Jiangxi	jiangxi
8.3	​​de
Semifinals	semifinales
RALLYING	triunfó
KANKKUNEN	kankkunen
COMMAND	mando
MCRAE	mcrae
ROLLS	blackjack
JYVASKYLA	helsinki
Juha	matti
Kankkunen	kankkunen
impressive	impresionante
37	ob
stages	etapas
Lakes	lagos
overshadowed	eclipsado
Kankunnen	dhaka
prospect	prospect
Gronholm	petter
Tommi	tomi
Makinen	lauri
Mitsubishi	mitsubishi
McRae	mcrae
fined	multado
250,000	mss
sports	sports
governing	federaciones
rolled	machacado
Subaru	subaru
6.5	—también
co-driver	coche
Ringer	ringer
unhurt	ileso
boss	mafioso
Richards	richards
furious	furioso
astonishing	increíble
pace	pace
!	!
37-year-old	sinclair
Spaniard	alonso
Sainz	sainz
turbo	turbo
Bruno	bruno
Thiry	villon
transmission	transmisión
shaft	cigüeñal
GRID	cuadrícula
POSITIONS	posiciones
Grid	cuadrícula
50.574	–el
226.859	marconi
kph	km/h
1:50.980	kraftwerk
Ferrari	ferrari
1:51.778	ose
1:51.884	dor
1:51.960	col
1:52.318	kot
1:52.354	tui
1:52.977	zon
Eddie	edie
Irvine	irvine
1:53.043	rv
1:53.152	nav
grid	cuadrícula
1:53.199	zaza
1:53.993	loyo
Salo	salo
Tyrrell	tyrrell
1:54.095	tui
14.	tas
1:54.220	amm
Diniz	hélio
1:54.700	adv
Jos	jos
Verstappen	barrichello
Arrows	flechas
1:55.150	nik
17.	hippo
Ukyo	mugen
Katayama	katayama
1:55.371	loyo
1:56.286	marconi
Lamy	lamy
Minardi	minardi
1:56.830	xe
Did	pudo
qualify	clasificarse
Giovanni	giovani
Lavaggi	bugatti
1:58.579	sar
SPECTATOR	espectador
FINNISH	finlandés
RALLY	bronca
unnamed	supuestamente
Danish	danés
Richardt	wendt
ploughed	bueyes
two-kilometre	kilómetro
host	anfitrión
Jyvaskyla	helsinki
skidded	estrelló
cordoned-off	estrado
suspended	suspendido
resumed	reanudó
practising	practicando
Quarterfinals	semifinales
THUNDERSTORMS	tormentas
SUSPENSION	suspensión
Thunderstorms	tormentas
suspension	suspensión
43-man	sabah
interrupted	interrumpido
schedeled	grünewald
+1	ː
+2	marconi
+3	spektor
+5	ignoró
Sigeki	kazama
+7	ob
+8	lorenz
+9	marconi
+11	pf
SUPER	super
rugby	rugby
Bradford	bradford
Wigan	liverpool
78	hirschfeld
Workington	falkirk
902	cont
Helens	merseyside
884	kampf
441	yal
767	​​de
409	wappen
Warrington	albans
555	cjm
499	brevemente
462	​​de
Sheffield	sheffield
574	gua
696	deshizo
Halifax	halifax
603	imo
552	rpp
Castleford	swansea
548	oro»
543	hy
Oldham	oldham
439	aud
656	taciturno
Leeds	leds
531	inri
681	acomodo
398	cavia
795	precisado
325	real»
1021	berry
ESSEX	middlesex
POISED	imparable
STEP	pasos
TITLE	título
CHALLENGE	desafío
new-ball	paintball
Neil	trevor
Ilott	beau
deliveries	envíos
left-armer	lefty
252	marcos
slumped	cayó
Derbyshire	lancashire
favour	favor
thrust	empuje
dispatching	enviando
removed	quitado
Dominic	dominic
Hewson	hewson
Hancock	hancock
visitors	visitantes
optimistically	optimista
Graham	graham
532	●
declaring	declarando
Captain	capitán
Prichard	evans
plundered	saquearon
88	sfc
Second-placed	colocado
prevented	previno
255	—no
third-placed	colocado
uphill	empinada
Notts	foxes
446	ob
Alistair	alistair
55-ball	pinball
half-century	número_cas
rain-curtailed	lluvia
Fourth-placed	colocado
ropes	sogas
intervened	interviniera
Pace	veloz
2-24	rect
Gordon	gordon
Parsons	parsons
3-20	pritzker
2-19	keres
353	nav
rekindled	reavivar
successive	sucesivas
defeats	derrota
arch-rivals	rivales
Facing	enfrente
529	muniqueses
follow	seguir
206	tojo
323	imo
paceman	lefty
Darren	brendan
Gough	gough
polishing	pulir
210	cicero
176	gro
b-4	ciap
lb-3	lb
nb-11	nba
339	ob
2-239	●
3-334	ob
4-334	ob
12-1-76-0	gasa
22-6-56-2	dió
29-6-64-1	marconi
14.3-4-45-1	uber
17-0-91-0	tas
Final	final
Match	match
abandoned	abandonado
27-4	fug
532-8	solórzano
111	þ
Irani	surya
Alleyne	rhoda
4-80	ob
Renshaw	renshaw
4-56	prod
Bovill	devereux
4-102	uber
81-7	sat
Ambrose	ambrose
6-26	maks
361	alix
117	cif
Ripley	ripley
42-3	ubico
446-9	–un
Noon	pm
B.	ob
4-104	sac
128-4	gigolo
205-9	auger
Spiring	boreanaz
Watkinson	harwood
4-53	nemo
210-5	mathis
Speak	hablar
Hibernian	hibernian
Dunfermline	kilmarnock
Kilmarnock	kilmarnock
Raith	hibernian
Motherwell	motherwell
Dundee	kilmarnock
Aberdeen	aberdeen
Airdrieonians	rovers
Fife	scottish
Clydebank	kilmarnock
Greenock	glasgow
Morton	morton
Falkirk	falkirk
Partick	kilmarnock
Mirren	mirren
Johnstone	johnstone
Berwick	inverness
Stenhousemuir	kilmarnock
Brechin	kilmarnock
Ayr	inverness
Hamilton	hamilton
Clyde	clyde
Dumbarton	dumbarton
Stranraer	falkirk
Livingston	livingston
Alloa	hekari
Arbroath	kilmarnock
Cowdenbeath	kilmarnock
Monstrose	monstruo
Forfar	kilmarnock
Inverness	inverness
Ross	ross
Played	jugó
OUT-OF-SORTS	casuales
NEWCASTLE	newcastle
Newcastle	newcastle
teething	caries
pacesetters	billabong
Alan	alan
Shearer	shearer
Keegan	keegan
talent-laden	talento
Dejan	ilija
Stefanovic	petrovic
Faustino	raymundo
Asprilla	tévez
equalised	atajó
Pembridge	islington
glancing	mirando
header	header
Whittingham	worthington
misery	aburrimiento
Ferdinand	ferdinand
stretchered	lesionó
Elsewhere	puntualmente
newly-promoted	promovido
Sunderland	sunderland
Tottenham	tottenham
Hotspur	hotspur
goaless	gol
LeBoeuf	larue
Gianluca	francescoli
Vialli	meazza
Coventry	coventry
managerless	entrenadores
Arsenal	arsenal
scoreline	marcador
Aston	aston
Villa	villamarín
Derby	derby
Ham	ham
Southampton	southampton
Bolton	bolton
Norwich	norwich
Bromwich	bromwich
Crystal	cristal
Ipswich	ipswich
Reading	lectura
Southend	blackpool
Birmingham	birmingham
Stoke	brentford
Swindon	swindon
Vale	vale
Wolverhampton	stockport
Barnsley	barnsley
Huddersfield	huddersfield
Brentford	middlesbrough
Luton	luton
Bristol	bristol
Blackpool	blackpool
kickoff	touchdown
Burnley	manchester
Walsall	middlesbrough
Chesterfield	chesterfield
Bury	bury
Peterborough	peterborough
Crewe	crewe
Preston	oldham
Rovers	rovers
Rotherham	swansea
Shrewsbury	shrewsbury
Stockport	watford
Watford	watford
Millwall	millwall
Wrexham	wrexham
Wycombe	wycombe
Gillingham	sunderland
Bournemouth	bournemouth
Barnet	barnet
Brighton	brighton
Carlisle	carlisle
Hull	knm
Chester	chester
Darlington	darlington
Swansea	swansea
Exeter	norwich
Scarborough	scarborough
Hartlepool	hartlepool
Fulham	liverpool
Hereford	hereford
Doncaster	doncaster
Leyton	bromwich
Orient	orient
Mansfield	mansfield
Rochdale	rochdale
Scunthorpe	middlesbrough
Torquay	blackpool
318-2	³
318	³
0-6	ob
ZEALAND	zelanda
SOUTH	norte
AFRICA	áfrica
PRETORIA	pretoria
33-26	galaxy
Blacks	negros
unbeatable	imbatible
Each	cada
tries	intenta
Springboks	springboks
enemies	enemigos
Wilson	wilson
24-11	e/
flanker	fullback
Ruben	ruben
Kruger	kruger
scrum-half	scrum
Joost	joost
Westhuizen	merwe
narrowed	estrechándose
gap	brecha
23-24	●
fly-half	mitad
Joel	joel
Stransky	grossman
conversion	conversión
upright	manillar
scrambled	batidos
replacement	reemplazo
Zinzan	grainger
Brooke	rompió
DEFEAT	derrota
21-11	gru
Tries	intenta
Hannes	hannes
Strydom	steyn
Penalties	penales
Stranksy	venter
Conversion	conversión
Simon	simon
Culhane	henson
Conversions	conversiones
Drop	bajar
YUGOSLAV	yugoslavas
Cukaricki	ricki
Hajduk	ofk
Becej	hrvatski
Borac	budućnost
Mladost	mladost
Zemun	belgrado
Rad	rad
Buducnost	korać
Partizan	partizan
Vojvodina	voivodina
Proleter	nogometni
Sutjeska	sutjeska
Sloboda	radnički
Loznica	mitrovica
Obilic	podgorica
OFK	radnički
Kikinda	banja
Radnicki	radovan
Spartak	spartak
Beograd	beograd
BJ	bj
Zeleznik	milovan
Rudar	fudbalski
POLISH	polaco
Amica	amica
Wronki	górnik
Hutnik	górnik
Krakow	cracovia
Sokol	sokol
Tychy	zabrze
Lech	lech
Poznan	cracovia
Rakow	weitz
Czestochowa	częstochowa
Stomil	stal
Olsztyn	wrocław
Wisla	wisla
Gornik	gorski
Slask	zabrze
Wroclaw	cracovia
Odra	vardar
Wodzislaw	kalisz
GKS	gks
Katowice	katowice
Polonia	polish
Zaglebie	wisła
Lubin	lubin
LKS	ks
Lodz	lodz
Belchatow	podolski
BASKETBALL	baloncesto
PHILIPPINE	filipina
PRO-LEAGUE	liga
MANILA	manila
semi-final	final
Philippine	filipina
Basketball	baloncesto
Milk	leche
Purefoods	colts
